folder	level1	level2	machine	confidence	dominant_share	files	audio_files	bytes	minutes	oldest	newest	instruments	categories	formats	tags
130	Sample	Chops		low	0.43	27	21	21992410	4.1	2001-09-27	2010-03-16		CHOP:9, ONE-SHOT:3, SECTION-BED:3, SAMPLE-SHORT:3, LOOP:2, SAMPLE:1	AIFF:20, RAW-PCM:1	sample chops chop one-shot section-bed sample-short
1969 - On the moon	Session	Long		medium	0.50	3	2	179136817	11.2	2011-02-17	2018-10-14	Noise	LONG-SESSION:1, SAMPLE:1	AIFF:2	session long noise long-session sample
2001	Sample	Oneshots		medium	0.46	17	13	20390595	3.7	1995-05-29	2010-02-04		SAMPLE-SHORT:6, PAD-BED:3, SAMPLE:2, SECTION-BED:2	AIFF:13, EMPTY:1	sample oneshots sample-short pad-bed section-bed
2002 Initial Battery Sampler Fun	Sample	Oneshots	NI Battery	medium	0.50	24	24	13845573	1.7	2001-08-29	2018-04-06	Bass	SAMPLE-SHORT:12, LOOP:5, DRUM-ONESHOT:2, UNKNOWN:1, TONAL-HIT:1, PAD-BED:1	AIFF:22, RAW-PCM:1	sample oneshots ni-battery bass sample-short loop drum-oneshot unknown
2003 8 point tour Sounds	Sample	General		low	0.25	569	439	4157229639	390.7	2000-03-21	2010-03-11	Bass, Noise, Hat, Melodic	SAMPLE:110, SAMPLE-SHORT:95, SECTION-BED:92, SONG?:48, LOOP:30, CHOP:17	AIFF:432, RAW-PCM:6	sample general bass hat noise melodic sample-short section-bed song
2003 Audio	Sample	FX	TR-808	low	0.27	1907	1507	2305078521	261.1	1994-09-08	2009-12-18	Kick, Bass, Noise, Stick, Clap, Orchestral, Hat Closed, Snare	FX:410, ONE-SHOT:388, CHOP:335, DRUM-ONESHOT:92, SAMPLE-SHORT:91, PAD-BED:70	AIFF:826, RAW-PCM:343, WAV:326, MP3:10	sample fx tr-808 bass noise cowbell hat-closed clap rim ride orchestral stick vocal melodic snare kick hat shaker one-shot chop drum-oneshot
2003 UK Live	Sample	Oneshots		low	0.24	289	159	2079737295	196.3	2000-03-21	2018-04-06	Bass, Hat, Melodic	SAMPLE-SHORT:38, SESSION-TAKE:32, SECTION-BED:30, SAMPLE:29, LOOP:10, LONG-SESSION:7	AIFF:141, RAW-PCM:17, EMPTY:1	sample oneshots bass hat melodic sample-short session-take section-bed
2010 movie	Sample	Oneshots		low	0.33	88	82	147465551	15.7	1997-03-01	2010-02-21	Vocal	SAMPLE-SHORT:27, ONE-SHOT:21, SAMPLE:13, SECTION-BED:10, VOCAL:7, UNKNOWN:2	AIFF:80, RAW-PCM:1	sample oneshots vocal sample-short one-shot section-bed
2011 performance edits	Session	Live		medium	1.00	1	1	513090658	32.3	2011-11-11	2011-11-11		LONG-SESSION:1	AIFF:1	session live long-session
50 Drums Kits	Drum	Kit		high	0.97	1794	1718	47411660	9.7	2005-08-01	2009-09-11	Conga, Hat, Rim, Snare, Melodic, Shaker, Tambourine	DRUM-ONESHOT:1667, CHOP:34, SAMPLE-SHORT:16, SAMPLE:1	WAV:1716, WAV-comp2:1, WAV-comp17:1, EMPTY:1	drum kit conga hat rim snare melodic shaker tambourine drum-oneshot chop sample-short sample
