root_folder	parent_chain	rel_path	filename	stem	ext	bytes	modified	format	samplerate	bits	channels	duration_s	duration_band	category	confidence	machine	instrument	descriptor	series_root	series_index	series_size	bpm	reasons	notes
Argyph'd	Argyph'd	Au fond, qui sait, c’est peut-être plus heureux.aif	Au fond, qui sait, c’est peut-être plus heureux.aif	Au fond, qui sait, c’est peut-être plus heureux	.aif	92093296	2024-01-13	AIFF	48000	24	2	319.754	G >5m	LONG-SESSION	medium								over five minutes	
Argyph'd	Argyph'd	Spline Abstractions.aif	Spline Abstractions.aif	Spline Abstractions	.aif	5247552	2024-01-13	AIFF	44100	16	2	29.725	D 8-30s	SAMPLE	low								29.7s, untyped	
Argyph'd	Argyph'd	heliogobbleus terrorgammons.aif	heliogobbleus terrorgammons.aif	heliogobbleus terrorgammons	.aif	5247612	2024-01-13	AIFF	44100	16	2	29.725	D 8-30s	SAMPLE	low								29.7s, untyped	
Argyph'd	Argyph'd	nothing that can so effectively as a kiss evoke.aif	nothing that can so effectively as a kiss evoke.aif	nothing that can so effectively as a kiss evoke	.aif	5247612	2024-01-13	AIFF	44100	16	2	29.725	D 8-30s	SAMPLE	low								29.7s, untyped	
Argyph'd	Argyph'd	these strange thoughts that are making you so miserable.aif	these strange thoughts that are making you so miserable.aif	these strange thoughts that are making you so miserable	.aif	5247612	2024-01-13	AIFF	44100	16	2	29.725	D 8-30s	SAMPLE	low								29.7s, untyped	
Argyph'd	Argyph'd	vercingetorix(ͱ).aif	vercingetorix(ͱ).aif	vercingetorix(ͱ)	.aif	5247552	2024-01-13	AIFF	44100	16	2	29.725	D 8-30s	SAMPLE	low								29.7s, untyped	
Argyph'd	Argyph'd	ᛦᛊ      ᚽᚢᛕᛁ.aif	ᛦᛊ      ᚽᚢᛕᛁ.aif	ᛦᛊ      ᚽᚢᛕᛁ	.aif	4657004	2024-01-13	AIFF	44100	16	2	26.377	D 8-30s	SAMPLE	low								26.4s, untyped	
Even More Da Heat	Even More Da Heat	aahh.wav	aahh.wav	aahh	.wav	78492	2023-05-16	WAV	48000	16	1	0.816	A <1s	ONE-SHOT	low								0.82s, untyped	
Even More Da Heat	Even More Da Heat	aarumph.wav	aarumph.wav	aarumph	.wav	159258	2023-05-16	WAV	48000	16	1	1.657	B 1-2.5s	SAMPLE-SHORT	low								1.7s, untyped	
Even More Da Heat	Even More Da Heat	art fall.wav	art fall.wav	art fall	.wav	158082	2023-05-16	WAV	48000	16	1	1.645	B 1-2.5s	FX	medium								fx keyword	
Even More Da Heat	Even More Da Heat	atmospheric drone 1 granular-pitched 2026-08-09 202901.wav	atmospheric drone 1 granular-pitched 2026-08-09 202901.wav	atmospheric drone 1 granular-pitched 2026-08-09 202901	.wav	1274924	2026-08-09	WAV	48000	24	2	4.427	C 2.5-8s	SAMPLE-SHORT	low								4.4s, untyped	
Even More Da Heat	Even More Da Heat	atmospheric drone 1.wav	atmospheric drone 1.wav	atmospheric drone 1	.wav	423864	2023-05-16	WAV	48000	16	1	4.413	C 2.5-8s	SAMPLE-SHORT	low								4.4s, untyped	
Even More Da Heat	Even More Da Heat	b 1.wav	b 1.wav	b 1	.wav	96582	2023-05-16	WAV	48000	16	1	1.004	B 1-2.5s	CHOP	medium				b	1	3		numbered series "b" (1 of 3), no drum token	
Even More Da Heat	Even More Da Heat	b 2.wav	b 2.wav	b 2	.wav	95258	2023-05-16	WAV	48000	16	1	0.990	A <1s	CHOP	medium				b	2	3		numbered series "b" (2 of 3), no drum token	
Even More Da Heat	Even More Da Heat	b 3.wav	b 3.wav	b 3	.wav	253300	2023-05-16	WAV	48000	16	1	2.637	C 2.5-8s	CHOP	medium				b	3	3		numbered series "b" (3 of 3), no drum token	
Even More Da Heat	Even More Da Heat	big meters 1.wav	big meters 1.wav	big meters 1	.wav	2322042	2023-05-16	WAV	48000	16	1	24.186	D 8-30s	SAMPLE	low								24.2s, untyped	
Even More Da Heat	Even More Da Heat	big vox.wav	big vox.wav	big vox	.wav	352628	2023-05-16	WAV	48000	16	1	3.671	C 2.5-8s	VOCAL	medium		Vocal						instrument token Vocal	
Even More Da Heat	Even More Da Heat	blurb 1.wav	blurb 1.wav	blurb 1	.wav	75220	2023-05-16	WAV	48000	16	1	0.782	A <1s	ONE-SHOT	low								0.78s, untyped	
Even More Da Heat	Even More Da Heat	bottom heavy atmos.wav	bottom heavy atmos.wav	bottom heavy atmos	.wav	565384	2023-05-16	WAV	48000	16	1	5.888	C 2.5-8s	SAMPLE-SHORT	low								5.9s, untyped	
Even More Da Heat	Even More Da Heat	cliper 1.wav	cliper 1.wav	cliper 1	.wav	644	2023-05-16	WAV	48000	16	1	0.005	A <1s	ONE-SHOT	low								0.00s, untyped	
