path	duration	loudness	crest	brightness	rolloff	flatness	noisiness	attack	low	high	pulse	density
Argyph'd/Au fond, qui sait, c’est peut-être plus heureux.aif	1.00000	0.43806	0.60220	0.36749	0.32547	0.01069	0.00876	1.00000	0.83812	0.01592	0.58855	0.45833
Argyph'd/Spline Abstractions.aif	0.86828	0.83581	0.13286	0.49048	0.32582	0.04938	0.01109	0.22802	0.83624	0.04587	1.00000	0.00000
Argyph'd/heliogobbleus terrorgammons.aif	0.86828	0.85207	0.10035	0.16910	0.19003	0.00048	0.01109	0.23217	0.99950	0.00035	0.99999	0.00000
Argyph'd/nothing that can so effectively as a kiss evoke.aif	0.86828	0.84306	0.21662	0.37645	0.37044	0.00055	0.04193	0.93682	0.00030	0.00037	0.86916	0.00000
Argyph'd/these strange thoughts that are making you so miserable.aif	0.86828	0.74806	0.11748	0.17859	0.19003	0.00103	0.01109	0.23217	0.99900	0.00076	0.99999	0.00000
Argyph'd/vercingetorix(ͱ).aif	0.86828	0.83581	0.13286	0.49048	0.32582	0.04938	0.01109	0.22802	0.83624	0.04587	1.00000	0.00000
Argyph'd/ᛦᛊ      ᚽᚢᛕᛁ.aif	0.85531	0.84698	0.11052	0.16911	0.19003	0.00048	0.01109	0.37400	0.99950	0.00035	1.00000	0.00000
Even More Da Heat/aahh.wav	0.47790	0.71959	0.39350	0.77960	0.84920	0.03602	0.23319	0.89496	0.01428	0.29423	0.52577	0.00000
Even More Da Heat/aarumph.wav	0.55484	0.67227	0.43515	0.56054	0.60571	0.02201	0.08693	0.95989	0.16135	0.01871	0.60174	0.25144
Even More Da Heat/art fall.wav	0.55403	0.67505	0.43169	0.56917	0.61250	0.02827	0.08833	0.87642	0.15601	0.02661	0.56911	0.20265
Even More Da Heat/atmospheric drone 1 granular-pitched 2026-08-09 202901.wav	0.66152	0.49926	0.47751	0.57565	0.61250	0.08026	0.05365	1.00000	0.29989	0.06269	0.61543	0.04167
Even More Da Heat/atmospheric drone 1.wav	0.66119	0.59964	0.40775	0.57199	0.58599	0.05803	0.06851	1.00000	0.27301	0.04848	0.75234	0.04167
Even More Da Heat/b 1.wav	0.50046	0.51975	0.59011	0.60263	0.69085	0.06471	0.05020	0.96463	0.31771	0.08146	0.34550	0.16596
Even More Da Heat/b 2.wav	0.49896	0.53792	0.58013	0.60521	0.69350	0.07438	0.04640	0.96231	0.36630	0.08942	0.51180	0.50481
Even More Da Heat/b 3.wav	0.60527	0.73375	0.50295	0.55275	0.61901	0.04932	0.02664	1.00000	0.49874	0.05910	0.57905	0.50567
Even More Da Heat/big meters 1.wav	0.84589	0.59335	0.78937	0.74764	0.83719	0.32518	1.00000	1.00000	0.11437	0.24541	0.73877	0.29167
Even More Da Heat/big vox.wav	0.64121	0.76653	0.36225	0.73833	0.80232	0.02739	0.17683	1.00000	0.01657	0.26172	0.43722	0.02270
Even More Da Heat/blurb 1.wav	0.47327	0.73362	0.38298	0.57144	0.64443	0.00331	0.06891	0.72956	0.21002	0.08375	0.36065	0.10660
Even More Da Heat/bottom heavy atmos.wav	0.69249	0.66683	0.37909	0.51888	0.45280	0.05399	0.02676	1.00000	0.65806	0.05018	0.79748	0.29167
Even More Da Heat/cliper 1.wav	0.00000	0.88761	0.22478	0.00000	0.00000	0.00000	0.89970	0.00000	0.00000	0.00000	0.00000	0.00000
Even More Da Heat/drum groove.wav	0.45618	0.66854	0.38091	0.55500	0.58334	0.02412	0.03315	0.80300	0.43872	0.07375	0.31617	0.12476
Even More Da Heat/eeaaahh.wav	0.59843	0.62177	0.50250	0.69532	0.76981	0.03844	0.12026	1.00000	0.06176	0.17519	0.88775	0.00000
Even More Da Heat/fla bon 1.wav	0.41884	0.62665	0.48827	0.85984	0.96052	0.33236	0.22450	0.56114	0.16621	0.51522	0.55570	0.70388
Even More Da Heat/fla bon 2.wav	0.41884	0.62665	0.48827	0.85805	0.95934	0.33572	0.22676	0.56114	0.16238	0.51021	0.42397	0.70388
Even More Da Heat/fla pt 1.wav	0.50814	0.60210	0.64701	0.84326	0.95057	0.33746	0.16347	0.42331	0.27116	0.49420	0.49115	0.38658
Even More Da Heat/fla pt 10.wav	0.50814	0.60210	0.64701	0.84211	0.95007	0.34038	0.16314	0.42331	0.27087	0.49072	0.45988	0.38658
Even More Da Heat/fla pt 11.wav	0.50814	0.60210	0.64701	0.84201	0.94982	0.34074	0.16292	0.42331	0.27142	0.49022	0.29455	0.38658
Even More Da Heat/fla pt 12.wav	0.50814	0.60210	0.64701	0.84163	0.94957	0.34335	0.16358	0.42331	0.27102	0.48870	0.34792	0.38658
Even More Da Heat/fla pt 2.wav	0.50814	0.60210	0.64701	0.84312	0.95032	0.33785	0.16391	0.42331	0.27104	0.49403	0.49144	0.38658
Even More Da Heat/fla pt 3.wav	0.50814	0.60210	0.64701	0.84337	0.95032	0.33881	0.16369	0.42331	0.26978	0.49475	0.47602	0.38658
Even More Da Heat/fla pt 4.wav	0.50814	0.60210	0.64701	0.84315	0.95032	0.33863	0.16391	0.42331	0.26997	0.49405	0.47731	0.38658
Even More Da Heat/fla pt 5.wav	0.50814	0.60210	0.64701	0.84299	0.95032	0.33955	0.16358	0.42331	0.26957	0.49344	0.48323	0.38658
Even More Da Heat/fla pt 6.wav	0.50814	0.60210	0.64701	0.84301	0.95032	0.34062	0.16391	0.42331	0.26918	0.49354	0.49300	0.38658
Even More Da Heat/fla pt 7.wav	0.50814	0.60210	0.64701	0.84241	0.95007	0.34110	0.16446	0.42331	0.26987	0.49186	0.49886	0.38658
Even More Da Heat/fla pt 8.wav	0.50814	0.60210	0.64701	0.84203	0.94982	0.33999	0.16435	0.42331	0.27105	0.49049	0.42361	0.38658
Even More Da Heat/fla pt 9.wav	0.50814	0.60210	0.64701	0.84206	0.94982	0.33999	0.16237	0.42331	0.27107	0.49056	0.38027	0.38658
Even More Da Heat/flange loop.wav	0.49366	0.63633	0.60567	0.85031	0.95429	0.34051	0.30794	0.45424	0.18353	0.50383	0.87654	0.61839
Even More Da Heat/flanged 2.wav	0.56847	0.60788	0.64051	0.86951	0.96005	0.36602	0.35064	0.99348	0.13536	0.56922	0.66670	0.48791
Even More Da Heat/flanged 3.wav	0.49348	0.59911	0.65703	0.88764	0.96719	0.37585	0.38887	0.44434	0.13536	0.61674	0.33180	0.53096
Even More Da Heat/flanged?.wav	0.93038	0.71360	0.57279	0.84783	0.95082	0.33991	0.27799	1.00000	0.11732	0.48801	0.28214	0.33333
Even More Da Heat/hat 90 1.wav	0.33430	0.63655	0.52159	0.88609	0.91241	0.04269	0.88291	0.34017	0.02547	0.85880	0.25701	0.00000
Even More Da Heat/horn delays.wav	0.55428	0.60189	0.45256	0.69925	0.77141	0.09640	0.11883	0.82196	0.06766	0.19553	0.82466	0.10110
Even More Da Heat/jazz loop.wav	0.67023	0.69358	0.58285	0.60323	0.66937	0.07416	0.05119	1.00000	0.37884	0.09421	0.44760	0.20833
Even More Da Heat/kick 1.wav	0.32331	0.84487	0.31026	0.69841	0.84920	0.16875	0.04546	0.41470	0.61739	0.22358	0.04331	0.42422
Even More Da Heat/kick 2.wav	0.36546	0.76319	0.47361	0.73709	0.84231	0.14147	0.13442	0.51365	0.43706	0.34895	0.01756	0.28773
Even More Da Heat/kick 909 1?.wav	0.34505	0.87528	0.20972	0.46689	0.39299	0.01224	0.01091	0.44055	0.79823	0.04419	0.15505	0.00000
Even More Da Heat/kick hat loop.wav	0.42000	0.78585	0.38252	0.79425	0.89152	0.04098	0.41811	0.27806	0.41478	0.47904	0.77724	0.00000
Even More Da Heat/music exzpmle 1.wav	0.53461	0.66949	0.44921	0.71993	0.85064	0.14800	0.10214	0.73139	0.23637	0.24147	0.34647	0.24235
Even More Da Heat/phased voice.wav	0.68987	0.61859	0.49984	0.61384	0.65987	0.06808	0.08115	1.00000	0.15602	0.07873	0.59819	0.02083
Even More Da Heat/rev creeper.wav	0.57252	0.62232	0.56995	0.66200	0.72863	0.08213	0.14059	0.86599	0.10250	0.11273	0.62513	0.00000
Even More Da Heat/sample and hold.wav	0.57896	0.64656	0.45914	0.57563	0.63321	0.04547	0.07430	0.39852	0.14863	0.05360	0.25620	0.24162
Even More Da Heat/scow wag.wav	0.57642	0.58384	0.42364	0.57651	0.63126	0.01371	0.06169	1.00000	0.24797	0.09034	0.30882	0.04122
Even More Da Heat/search for.wav	0.54442	0.58682	0.55025	0.59419	0.73379	0.00780	0.09248	0.83178	0.29339	0.09812	0.46764	0.22140
Even More Da Heat/snare 1.wav	0.38266	0.68285	0.53346	0.81287	0.88705	0.27567	0.19418	0.21896	0.04944	0.49758	0.12933	0.00000
Even More Da Heat/snare 2.wav	0.25474	0.77439	0.35238	0.80473	0.88362	0.21799	0.28155	0.34621	0.03206	0.46309	0.00000	0.00000
Even More Da Heat/snare 3.wav	0.33339	0.63576	0.71895	0.87254	0.93751	0.38560	0.59374	0.38632	0.02343	0.66180	0.14256	0.00000
Even More Da Heat/snare 4.wav	0.37416	0.63301	0.73399	0.82191	0.88781	0.24505	0.38738	0.40648	0.05408	0.57306	0.20360	0.26557
Even More Da Heat/snare 5.wav	0.26797	0.70077	0.59847	0.83468	0.89334	0.21826	0.51159	0.29481	0.04113	0.63366	0.00000	0.00000
Even More Da Heat/static loop.wav	0.54536	0.56781	0.65677	0.70936	0.73175	0.10995	0.20457	0.88681	0.04135	0.11057	0.84122	0.76824
Even More Da Heat/swell 1.wav	0.61965	0.52548	0.46970	0.62448	0.70732	0.05995	0.07807	0.93010	0.24764	0.08334	0.93684	0.00000
Even More Da Heat/swell 2.wav	0.68622	0.58433	0.52645	0.63111	0.71206	0.06187	0.09438	1.00000	0.20037	0.09289	0.87016	0.02083
Even More Da Heat/swell 3.wav	0.58446	0.64668	0.47413	0.69500	0.78142	0.08343	0.14008	1.00000	0.09659	0.18794	0.65304	0.00000
Even More Da Heat/swell 4.wav	0.66012	0.64935	0.49898	0.54454	0.61470	0.01882	0.04188	1.00000	0.34967	0.03223	0.86725	0.04167
