root_folder	files	bytes	audio_files	total_minutes	oldest	newest	subdirs	depth	detected_machine	folder_role	dominant_category	category_mix	format_mix	flagged
130	27	21992410	21	4.1	2001-09-27	2010-03-16	0	0			CHOP	CHOP:9, CACHE:6, ONE-SHOT:3, SECTION-BED:3, SAMPLE-SHORT:3, LOOP:2	AIFF:20, NON-AUDIO:6, RAW-PCM:1	1
1969 - On the moon	3	179136817	2	11.2	2011-02-17	2018-10-14	0	0			LONG-SESSION	LONG-SESSION:1, CACHE:1, SAMPLE:1	AIFF:2, NON-AUDIO:1	0
2001	17	20390595	13	3.7	1995-05-29	2010-02-04	0	0			SAMPLE-SHORT	SAMPLE-SHORT:6, CACHE:3, PAD-BED:3, SAMPLE:2, SECTION-BED:2, BROKEN:1	AIFF:13, NON-AUDIO:3, EMPTY:1	1
2002 Initial Battery Sampler Fun	24	13845573	23	1.7	2001-08-29	2018-04-06	0	0	NI Battery	samples	SAMPLE-SHORT	SAMPLE-SHORT:12, LOOP:5, DRUM-ONESHOT:2, UNKNOWN:1, TONAL-HIT:1, PAD-BED:1	AIFF:22, NON-AUDIO:1, RAW-PCM:1	1
2003 8 point tour Sounds	569	4157229639	438	390.7	2000-03-21	2010-03-11	15	1			CACHE	CACHE:130, SAMPLE:110, SAMPLE-SHORT:95, SECTION-BED:92, SONG?:48, LOOP:30	AIFF:432, NON-AUDIO:131, RAW-PCM:6	6
2003 Audio	1907	2305078521	1505	261.1	1994-09-08	2009-12-18	50	3			FX	FX:410, CACHE:396, ONE-SHOT:388, CHOP:335, DRUM-ONESHOT:92, SAMPLE-SHORT:91	AIFF:826, NON-AUDIO:398, RAW-PCM:343, WAV:326, MP3:10	357
2003 UK Live	289	2079737295	158	196.3	2000-03-21	2018-04-06	2	1			CACHE	CACHE:129, SAMPLE-SHORT:38, SESSION-TAKE:32, SECTION-BED:30, SAMPLE:29, LOOP:10	AIFF:141, NON-AUDIO:130, RAW-PCM:17, EMPTY:1	18
2010 movie	88	147465551	81	14.7	1997-03-01	2010-02-21	1	1			SAMPLE-SHORT	SAMPLE-SHORT:27, ONE-SHOT:21, SAMPLE:13, SECTION-BED:9, VOCAL:7, CACHE:6	AIFF:80, NON-AUDIO:7, RAW-PCM:1	1
2011 performance edits	1	513090658	1	32.3	2011-11-11	2011-11-11	0	0		edits	LONG-SESSION	LONG-SESSION:1	AIFF:1	0
50 Drums Kits	1794	47411660	1718	9.7	2005-08-01	2009-09-11	50	1		kit	DRUM-ONESHOT	DRUM-ONESHOT:1667, CACHE:75, CHOP:34, SAMPLE-SHORT:16, SAMPLE:1, BROKEN:1	WAV:1716, NON-AUDIO:75, WAV-comp2:1, WAV-comp17:1, EMPTY:1	1
550 - converted	81	6944703	44	1.2	2001-09-05	2010-03-16	0	0			CACHE	CACHE:36, SAMPLE-SHORT:11, CHOP:11, DRUM-ONESHOT:6, ONE-SHOT:6, SAMPLE:3	NON-AUDIO:37, RAW-PCM:24, AIFF:18, MP3:2	26
550 extracted	37	2254394	26	0.6	2001-09-05	2010-03-14	0	0			CACHE	CACHE:11, SAMPLE-SHORT:10, DRUM-ONESHOT:5, TONAL-HIT:3, SYNTH-STAB:3, CHOP:2	AIFF:26, NON-AUDIO:11	0
714kit001	18	601229	11	0.1	2001-11-18	2008-09-29	0	0			ONE-SHOT	ONE-SHOT:11, CACHE:7	WAV:11, NON-AUDIO:7	0
714kit002	27	1216966	21	0.1	2001-12-31	2008-09-29	0	0			ONE-SHOT	ONE-SHOT:21, CACHE:6	WAV:21, NON-AUDIO:6	0
808	188	19145662	161	2.9	2005-08-01	2009-11-30	0	0	TR-808		DRUM-ONESHOT	DRUM-ONESHOT:94, CHOP:35, SAMPLE-SHORT:32, CACHE:27	WAV:161, NON-AUDIO:27	0
808 eq's and compressed	22	3145122	10	0.5	2003-02-08	2010-03-31	0	0	TR-808		CACHE	CACHE:12, DRUM-ONESHOT:7, DRUM-HIT-LONG:2, CHOP:1	NON-AUDIO:12, RAW-PCM:7, WAV:2, MP3:1	8
909	19	286331	13	0.0	1997-06-20	2005-05-28	0	0	TR-909		DRUM-ONESHOT	DRUM-ONESHOT:13, CACHE:5, BROKEN:1	RAW-PCM:13, NON-AUDIO:5, EMPTY:1	14
909 sounds	190	5703161	188	1.1	1995-02-20	2004-11-21	0	0	TR-909		DRUM-ONESHOT	DRUM-ONESHOT:184, CHOP:4, CACHE:1, BROKEN:1	WAV:160, AIFF:28, NON-AUDIO:1, EMPTY:1	1
AIFF - Blasts From The Past	12	626223825	12	59.2	2012-12-02	2012-12-02	0	0			LONG-SESSION	LONG-SESSION:5, SONG?:5, ONE-SHOT:1, SESSION-TAKE:1	AIFC:sowt:11, RAW-PCM:1	1
ASOOR Edits	203	84443776	198	1.8	2009-04-13	2009-04-13	4	2		edits	UNKNOWN	UNKNOWN:194, CACHE:5, SECTION-BED:2, SAMPLE:2	AIFF:198, NON-AUDIO:5	0
ASOOR Extracts	8	270594096	6	17.0	2009-04-13	2009-08-29	0	0			SONG?	SONG?:3, CACHE:2, SAMPLE:1, SECTION-BED:1, LONG-SESSION:1	AIFF:6, NON-AUDIO:2	0
ATMAN - Original Files	20	1699944934	15	106.9	2009-03-22	2011-01-05	0	0			LONG-SESSION	LONG-SESSION:14, CACHE:5, SECTION-BED:1	AIFF:15, NON-AUDIO:5	0
ATMAN_16bit	10	695478816	10	65.7	2010-06-25	2010-06-25	0	0			LONG-SESSION	LONG-SESSION:9, SONG?:1	WAV:10	0
ATMAN_24bit_Beatport	25	1740106675	24	131.6	2010-06-22	2010-06-30	1	1			LONG-SESSION	LONG-SESSION:18, SONG?:2, SAMPLE-SHORT:2, ONE-SHOT:2, UNKNOWN:1	WAV:20, RAW-PCM:4, NON-AUDIO:1	4
Absynth Samples	1081	726586433	807	95.3	1996-09-24	2010-03-31	44	3	NI Absynth	samples	CACHE	CACHE:272, SAMPLE-SHORT:234, DRUM-ONESHOT:185, SAMPLE:143, CHOP:86, TONAL-HIT:53	WAV:804, NON-AUDIO:274, RAW-PCM:3	3
Acoustic Drums Stereo	305	110206222	296	10.4	2003-02-08	2026-08-08	2	1			DRUM-ONESHOT	DRUM-ONESHOT:224, DRUM-HIT-LONG:37, SAMPLE:15, SAMPLE-SHORT:13, DOCUMENT:7, ONE-SHOT:4	AIFF:296, NON-AUDIO:7, EMPTY:2	2
AnalogDrums	149	5051721	73	0.4	2003-01-04	2010-01-10	0	0			CACHE	CACHE:76, ONE-SHOT:71, CHOP:1, SAMPLE:1	NON-AUDIO:76, AIFF:73	0
Assorted Maladies	136	67475798	69	7.2	1999-06-07	2018-04-06	4	2			CACHE	CACHE:64, SAMPLE-SHORT:29, ONE-SHOT:14, LOOP:8, CHOP:7, SAMPLE:5	NON-AUDIO:66, AIFF:60, RAW-PCM:5, WAV:4, EMPTY:1	6
Audio Library 7 (from the archive)	72	5502836	65	0.9	1995-12-14	2018-02-06	6	1		archive	DRUM-ONESHOT	DRUM-ONESHOT:47, ONE-SHOT:8, SAMPLE-SHORT:7, BROKEN:6, DRUM-HIT-LONG:2, UNKNOWN:1	AIFF:64, EMPTY:6, NON-AUDIO:1, MP3:1	7
Bauhaus	6	4355343	3	0.3	2010-11-23	2010-11-26	0	0			CACHE	CACHE:3, SAMPLE-SHORT:2, SAMPLE:1	AIFF:3, NON-AUDIO:3	0
Because it is time	8	734514220	6	46.2	2009-06-11	2011-03-19	0	0			LONG-SESSION	LONG-SESSION:6, CACHE:2	AIFF:6, NON-AUDIO:2	0
